RSI,ATR_Pct,Overext,RR,MomCons,VolSurge,RR_MomCons,RSI_Neutral,Risk_Score,Vol_Mom
0.008246859,0.2665652,-0.037538916,0.10330699,-0.06930255,-0.03395562,-0.5590889,-0.21227531,-0.38386598,-0.7403409
-0.13393481,-0.37968853,-0.03557391,-0.034922965,0.024704134,-0.025732167,0.16815343,0.25281563,-0.7642768,-0.21716449
-0.3780222,0.5684039,0.023932919,0.044919003,0.019757409,0.0050412277,-0.8938185,0.107887,-0.2350497,-0.1114062
0.0056078346,0.03313931,0.6114145,-0.0071988874,-0.025034003,-0.07031425,0.6863457,0.14849849,1.359122,-0.2568189
-0.11239753,-1.8010557,-0.15904567,-0.14879192,-0.036036357,0.05371349,0.018995535,-0.47629678,-0.22781272,-0.1970964
0.18757688,0.03275823,0.009712582,0.38194573,0.044122886,0.5637697,-0.32575732,0.31312692,-0.021148894,0.17754424
0.1262905,0.28049275,0.31308693,0.09664065,-0.036131047,0.40098092,0.7731467,0.2673511,-0.108012624,0.12364924
-0.09394315,-1.1750181,-0.3521624,0.105278894,-0.023581691,-0.14143738,-0.34857792,0.5166478,-0.1953809,-0.085736945
0.079937905,0.12281682,0.2697969,0.02433559,0.032305136,0.5937631,0.24416012,0.2850869,0.7361848,-0.20522611
0.08416717,-0.103369966,0.016256215,0.09718326,-0.06368808,0.029480904,-0.24288009,-0.58537567,-0.60744274,-0.6143773
0.07958285,0.34139088,0.19153996,0.19579525,0.033186432,0.48021746,0.46620134,-0.18334445,0.027738594,0.043890625
-0.12758966,-1.0389674,-1.1851689,-0.047467217,-0.052975602,-0.16707268,0.21382415,-0.14382578,-0.46088693,-0.64131784
-0.20517445,-1.9866941,-0.46901837,0.019222023,0.023361936,-0.03897772,0.24457423,-0.9051508,-0.08663832,0.029547649
-0.12859562,-0.17619567,-1.5001866,0.08959285,0.04052044,0.08357901,-0.69586635,0.044191025,-0.4660445,0.35254887
-0.048705053,0.3821985,-0.47500587,0.033722423,0.026372913,0.1502533,0.38627368,-0.6990843,0.073897,-1.4175217
-0.33039576,-1.6838229,-0.024205744,-0.0692262,-0.10709103,0.34875843,0.20661594,0.012356645,-0.32572556,-0.195756
0.0053531327,-0.15757023,0.016487671,-0.105085164,0.032305136,-0.39301804,0.07422705,0.15431419,-0.29871923,0.19160344
-0.09633495,0.03757616,0.596797,0.2886274,-0.044409245,0.60578907,-0.37197733,0.5989612,0.086542375,0.0914691
0.4358333,0.4333819,0.5378401,-0.1795371,0.061908014,0.17084596,0.66876197,-0.3242177,-0.22528139,0.006850716
0.064967245,-0.059806794,0.004022968,0.011167681,0.027575215,0.05474299,0.21451044,-0.21689124,-0.36506116,-0.42468253
0.3253903,0.6427607,-0.56753427,0.15122604,-0.09816605,-0.14935735,0.46135923,-0.6530201,-0.24930203,-0.7610297
-0.07737062,-0.3212757,-0.89819366,0.05491658,0.052585155,-0.41682896,-0.6767119,-0.61104476,-0.47459704,0.16413523
-0.36699316,-1.000646,0.11933006,0.036397874,-0.044654556,-0.07082064,-0.28614837,0.2676766,-0.9330641,-0.04165344
0.078531384,-2.1996644,-0.30701223,-0.1950629,0.0514113,-0.10738166,0.21757492,-1.4698339,-0.17596011,0.025791524
-0.29000744,0.43483925,0.05005075,-0.04933896,0.067392774,-0.34475964,-0.3934601,0.26343676,-0.25508395,-0.16679291
0.0662425,-0.1472215,-0.42588478,-0.3759282,0.061527807,-0.00794909,0.32748988,-1.2168036,0.065976426,-0.26450863
-0.056101307,-0.70520574,-0.29719272,0.025238644,-0.041617468,-0.10746819,-0.2525432,-0.14294425,-0.523567,-0.57338166
